geracao,fit_medio,fit_melhor,fit_pior,fit_std,coletas,entregas,colisoes,mortos,taxa_coleta,taxa_entrega,melhor_tempo,tempo_medio_entrega,distancia_media_entrega,taxa_mutacao_atual,forca_mutacao_atual,tempo_real_geracao_seg
1,397.8712565496789,14504.341209073087,-2447.255449802213,4041.949720392178,2,2,0,0,0.06666666666666667,0.06666666666666667,9.339000000000011,12.085499999999964,556.643626178686,0.194,0.291,0.00024318695068359375
2,-1041.9577997120225,13327.910849761336,-6330.762115540943,5147.846454935709,3,3,0,0,0.1,0.1,2.981999999999995,6.220666666666659,346.9886236538064,0.18818000000000001,0.28226999999999997,0.00028014183044433594
3,744.5647428735435,13807.137108472769,-4256.527257867848,5708.041268791906,5,5,0,0,0.16666666666666666,0.16666666666666666,2.708999999999995,5.406600000000011,296.8483125577208,0.1825346,0.2738019,0.00022602081298828125
4,2279.8349992666367,14098.186037128737,-4789.7423801790255,7249.0154863053785,9,9,0,0,0.3,0.3,1.163,5.6003333333333325,533.8031078479679,0.177058562,0.265587843,0.0002548694610595703
5,1575.0910544256944,15873.919331280005,-2330.7330641451867,4775.244971469206,3,3,0,0,0.1,0.1,4.8320000000000025,8.951666666666618,517.7937054297371,0.17174680514,0.25762020770999994,0.00014162063598632812
6,1670.5472707291656,15990.70782271936,-2521.711353937194,5754.20429487409,4,4,0,0,0.13333333333333333,0.13333333333333333,3.175999999999994,3.9772499999999966,507.01826268641497,0.16659440098579997,0.24989160147869993,0.00015473365783691406
7,3900.3738337076707,16762.381339057312,-2019.4373091783564,6381.852332273699,6,6,0,0,0.2,0.2,3.3549999999999938,6.208833333333339,687.4592877569193,0.16159656895622598,0.24239485343433892,0.0004749298095703125
8,1699.358192993395,13410.40543367897,-5989.246188349644,8117.265298542476,10,10,0,0,0.3333333333333333,0.3333333333333333,0.8040000000000006,3.002499999999988,344.9296815246445,0.1567486718875392,0.23512300783130877,0.0002760887145996094
9,2126.2527799127884,15135.12878469175,-3231.422724863042,6506.300985175254,6,6,0,0,0.2,0.2,1.7379999999999989,2.909666666666664,431.57931643124624,0.15204621173091304,0.2280693175963695,0.00028324127197265625
10,2207.9921269214396,13570.920122459456,-6340.59330843955,8491.457901379279,11,11,0,0,0.36666666666666664,0.36666666666666664,0.8810000000000007,3.1410909090908983,347.58490651482634,0.14748482537898563,0.2212272380684784,0.0001404285430908203
11,3078.0654229456904,13879.387968064171,-4793.203653980888,7391.999936881845,10,10,0,0,0.3333333333333333,0.3333333333333333,1.0420000000000007,3.6233999999999766,429.80399494739567,0.14306028061761605,0.21459042092642405,0.00019049644470214844
12,4014.344811468555,15213.126951618546,-2435.8363407731904,7689.206858725654,10,10,0,0,0.3333333333333333,0.3333333333333333,1.7809999999999986,3.8309000000000024,393.9215814140856,0.13876847219908756,0.2081527082986313,0.0002512931823730469
13,1045.2761176469571,14186.393350051212,-5041.1997992390125,7258.743006936482,7,7,0,0,0.23333333333333334,0.23333333333333334,1.2110000000000003,2.8135714285714246,413.0291687208955,0.13460541803311493,0.20190812704967237,0.000247955322265625
14,6280.354228679035,15983.88322412871,-2485.2430336927914,8168.740839447096,13,13,0,0,0.43333333333333335,0.43333333333333335,2.2729999999999975,4.4158461538461475,601.1313159678939,0.13056725549212148,0.1958508832381822,0.00018548965454101562
15,5958.00841687527,15262.733515745878,-1853.1346597729607,7815.425371591824,13,13,0,0,0.43333333333333335,0.43333333333333335,1.8149999999999982,3.9455384615384568,604.2823034863433,0.12665023782735782,0.18997535674103674,0.0002601146697998047
16,5253.787562291381,13766.646680936046,-4643.46437986052,8194.068473144385,15,15,0,0,0.5,0.5,0.9850000000000008,2.953266666666671,317.57364670234915,0.1228507306925371,0.18427609603880563,0.0001461505889892578
17,7802.332137674405,15501.876489820235,-2161.72081840579,7823.276497155449,16,16,0,0,0.5333333333333333,0.5333333333333333,1.934999999999999,4.102187499999994,618.9448648093235,0.11916520877176098,0.17874781315764146,0.0002830028533935547
18,7875.775267179901,16806.35956977267,-2459.051574846344,7891.505600244861,14,14,0,0,0.4666666666666667,0.4666666666666667,2.656999999999996,6.23807142857139,842.2946268977811,0.11559025250860816,0.1733853787629122,0.0002841949462890625
19,10591.546810059815,16380.141417582276,-1046.8081644755969,7097.464373736887,19,19,0,0,0.6333333333333333,0.6333333333333333,2.417999999999996,4.4994736842105185,618.04880025892,0.1121225449333499,0.16818381740002483,0.0004277229309082031
20,8902.471558631772,15973.050238721453,-1673.6637358740259,7497.249083260133,16,16,0,0,0.5333333333333333,0.5333333333333333,2.194999999999997,2.5725624999999965,489.8679357785505,0.1087588685853494,0.16313830287802408,0.00028824806213378906
21,7778.491432018457,14372.203682535523,-3181.2401175612313,7982.41622008804,18,18,0,0,0.6,0.6,1.3119999999999998,1.6968333333333319,296.14508149691994,0.10549610252778892,0.15824415379168336,0.0001590251922607422
22,7672.741039833341,13652.000979622473,-4786.868086832095,7696.162116653643,19,19,0,0,0.6333333333333333,0.6333333333333333,0.9080000000000007,1.839999999999998,262.3948770953325,0.10233121945195525,0.15349682917793286,0.0002677440643310547
23,10906.445656940097,17437.912073393974,-1340.7751399835663,7617.907203984818,18,18,0,0,0.6,0.6,3.0239999999999947,5.013388888888888,862.2773470334303,0.09926128286839658,0.14889192430259485,0.0003085136413574219
24,12617.596871378153,14639.517697804165,-861.0766181960206,4608.226076577727,26,26,0,0,0.8666666666666667,0.8666666666666667,1.456999999999999,2.62680769230768,424.59760663056636,0.09628344438234468,0.144425166573517,0.0004315376281738281
25,15227.80652301119,16658.497117732237,-1773.4148491182116,4078.609815108244,28,28,0,0,0.9333333333333333,0.9333333333333333,2.5849999999999955,4.371392857142841,714.7334330532256,0.09339494105087434,0.1400924115763115,0.0005154609680175781
26,14996.52672540553,15583.657956302248,8.104733902120492,2787.0059978258523,29,29,0,0,0.9666666666666667,0.9666666666666667,1.9789999999999985,2.2600344827586185,437.7213392792796,0.0905930928193481,0.13588963922902214,0.0006473064422607422
27,13906.194880510231,16743.449686363634,-2387.4228589413824,6078.829410837731,25,25,0,0,0.8333333333333334,0.8333333333333334,2.6259999999999963,3.4287199999999984,610.4533543410433,0.08787530003476766,0.1318129500521515,0.00044465065002441406
28,15596.684044887854,16123.256420059712,1707.7664384629736,2579.628027125189,29,29,0,0,0.9666666666666667,0.9666666666666667,2.2849999999999966,2.470310344827582,480.44604127705816,0.08523904103372464,0.12785856155058695,0.00042176246643066406
29,13166.90700097866,15439.494745387716,-2467.199820600479,5737.2335253486335,26,26,0,0,0.8666666666666667,0.8666666666666667,1.8979999999999981,1.9849999999999979,396.2511277762772,0.08268186980271289,0.12402280470406932,0.00015735626220703125
30,16218.5117677593,17238.82155981547,3055.1533060580546,3414.260669218725,28,28,0,0,0.9333333333333333,0.9333333333333333,2.8909999999999956,3.4034999999999966,630.5752666117062,0.0802014137086315,0.12030212056294724,0.00038313865661621094
31,12784.828520095178,13304.60874874541,-802.6106035421928,2525.4418134181938,29,29,0,0,0.9666666666666667,0.9666666666666667,0.7160000000000004,0.9348275862068968,181.6458407697801,0.07779537129737256,0.11669305694605882,0.00033473968505859375
32,10557.10648850454,14350.594662842861,-2858.554018382384,6683.396360900218,23,23,0,0,0.7666666666666667,0.7666666666666667,1.3050000000000002,1.9181739130434774,323.6922612213618,0.07546151015845137,0.11319226523767706,0.00026726722717285156
33,11975.437369539868,15602.289614995188,-181.79923266603504,6223.010629263168,23,23,0,0,0.7666666666666667,0.7666666666666667,1.9879999999999984,3.014260869565204,537.8994221583122,0.07319766485369783,0.10979649728054675,0.00038933753967285156
34,14473.133302822847,15524.551409914415,124.94449670300081,3574.742300326367,28,28,0,0,0.9333333333333333,0.9333333333333333,1.9509999999999978,2.402214285714284,436.7769100831748,0.0710017349080869,0.10650260236213033,0.0003826618194580078
35,15283.225555967936,16258.236541970567,3104.387967972237,3104.6979291812304,28,28,0,0,0.9333333333333333,0.9333333333333333,2.3469999999999964,3.0930714285714145,549.9718800085526,0.06887168286084429,0.10330752429126643,0.0005643367767333984
