geracao,fit_medio,fit_melhor,fit_pior,fit_std,coletas,entregas,colisoes,mortos,taxa_coleta,taxa_entrega,melhor_tempo,tempo_medio_entrega,distancia_media_entrega,taxa_mutacao_atual,forca_mutacao_atual,tempo_real_geracao_seg
1,-125.75782938094537,6305.901548389346,-2266.9979661612933,2161.3874233270185,2,2,0,0,0.06666666666666667,0.06666666666666667,5.576000000000013,6.591000000000025,438.0182258282156,0.194,0.291,0.0002753734588623047
2,-2224.873616941701,3912.893624261401,-6158.00063896471,2180.4516078442907,1,1,0,0,0.03333333333333333,0.03333333333333333,2.8979999999999952,2.8979999999999952,192.97607803765683,0.18818000000000001,0.28226999999999997,0.0001995563507080078
3,-1529.1022461417892,4315.298377350631,-3603.7381461598493,1389.8827596774101,1,1,0,0,0.03333333333333333,0.03333333333333333,3.901999999999991,3.901999999999991,232.51618016605434,0.1825346,0.2738019,0.00038743019104003906
4,-2052.93673985688,4296.88934793264,-4579.562490497509,1719.1171519786712,1,1,0,0,0.03333333333333333,0.03333333333333333,1.1820000000000002,1.1820000000000002,233.0539171723877,0.177058562,0.265587843,0.00015783309936523438
5,252.44687783967373,3914.1674663398253,-2196.712694111139,1524.8671930866515,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.17174680514,0.25762020770999994,0.0001773834228515625
6,-57.39667256758564,6604.158490555797,-2342.8547617604963,1595.129207396034,1,1,0,0,0.03333333333333333,0.03333333333333333,4.763,4.763,466.6907086058878,0.16659440098579997,0.24989160147869993,0.00017762184143066406
7,1449.3648272186044,7413.956220187225,-1849.4233965309934,2006.0342768759,1,1,0,0,0.03333333333333333,0.03333333333333333,3.771999999999991,3.771999999999991,574.1962182315774,0.16159656895622598,0.24239485343433892,0.0001976490020751953
8,-2237.910190569776,3569.371875671597,-5816.875835964034,2602.6751032141633,3,3,0,0,0.1,0.1,1.7449999999999992,2.197999999999998,167.89878204572565,0.1567486718875392,0.23512300783130877,0.00019812583923339844
9,-1560.631333034472,1287.9783667594872,-3072.9980107772108,1191.6321691583532,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.15204621173091304,0.2280693175963695,0.00017833709716796875
10,-2202.2453100685816,3721.0034640613667,-5352.137271776335,2156.969568460955,1,1,0,0,0.03333333333333333,0.03333333333333333,0.9020000000000007,0.9020000000000007,175.55045003780288,0.14748482537898563,0.2212272380684784,0.0002422332763671875
11,-1878.224893499522,-170.17456592938638,-4640.764257698393,1103.3496089998018,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.14306028061761605,0.21459042092642405,0.00021195411682128906
12,-1240.5954654874479,1165.7512190135378,-2279.394663122062,769.0033278539308,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.13876847219908756,0.2081527082986313,0.00022292137145996094
13,-1244.0122369601038,4418.580802960625,-4868.025190455818,2346.525635412245,2,2,0,0,0.06666666666666667,0.06666666666666667,1.623999999999999,1.964999999999998,245.76557598890957,0.13460541803311493,0.20190812704967237,0.0001914501190185547
14,-599.6922025438957,4203.0800850930655,-2308.5025262249205,1393.052558362682,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.13056725549212148,0.1958508832381822,0.0001709461212158203
15,-849.2757822714832,2802.363590814275,-1821.965145972139,1238.5022701341002,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.12665023782735782,0.18997535674103674,0.00019168853759765625
16,-2107.734019826508,1224.395513020387,-4486.920807213478,1492.4531926666625,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1228507306925371,0.18427609603880563,0.0001628398895263672
17,166.26973901792863,5853.4292786480755,-1992.2902203617584,1663.4740832956834,1,1,0,0,0.03333333333333333,0.03333333333333333,4.159999999999993,4.159999999999993,388.03515959433435,0.11916520877176098,0.17874781315764146,0.00019621849060058594
18,2205.2320948386496,7318.493832926575,-2280.711630831296,2582.5556740042657,2,2,0,0,0.06666666666666667,0.06666666666666667,2.865999999999994,4.812500000000009,578.5127961052872,0.11559025250860816,0.1733853787629122,0.00019240379333496094
19,1298.5626104960802,6837.647883873157,-2083.824372009335,2107.57614054392,1,1,0,0,0.03333333333333333,0.03333333333333333,2.6099999999999963,2.6099999999999963,498.3582130745498,0.1121225449333499,0.16818381740002483,0.00018405914306640625
20,674.5640374849588,6368.221053012481,-1720.2198491757397,1966.7824646830222,2,2,0,0,0.06666666666666667,0.06666666666666667,2.562999999999997,8.78249999999996,513.6556048443005,0.1087588685853494,0.16313830287802408,0.00021982192993164062
21,-839.7708195884614,4605.609148406495,-3448.514280210673,1943.011638973155,2,2,0,0,0.06666666666666667,0.06666666666666667,1.5759999999999987,2.2524999999999964,266.84153467082837,0.10549610252778892,0.15824415379168336,0.00021910667419433594
22,-1949.3107638891097,3818.1137175596787,-5216.711706909817,2198.5978769205813,2,2,0,0,0.06666666666666667,0.06666666666666667,1.0480000000000007,1.0970000000000006,186.97395835946722,0.10233121945195525,0.15349682917793286,0.0001475811004638672
23,1645.7736211329247,7972.911297739907,-2151.5098085621503,2757.4542447818026,1,1,0,0,0.03333333333333333,0.03333333333333333,19.688999999999698,19.688999999999698,1801.6965322804626,0.09926128286839658,0.14889192430259485,0.0001513957977294922
24,-1308.4557551380092,4900.202485670343,-3713.1050765451796,2107.851629622425,1,1,0,0,0.03333333333333333,0.03333333333333333,2.004999999999998,2.004999999999998,297.1568755664158,0.09628344438234468,0.144425166573517,0.0002434253692626953
25,891.4144208897354,4446.504212185831,-1666.3062538087643,1928.3664060332085,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.09339494105087434,0.1400924115763115,0.0002067089080810547
26,719.0346520729114,5937.393703944613,-2006.6565675599609,1937.8363780434588,2,2,0,0,0.06666666666666667,0.06666666666666667,4.2089999999999925,11.955999999999833,1529.5218803549674,0.0905930928193481,0.13588963922902214,0.00016021728515625
27,2547.1563330420377,7229.999593155873,-724.4725650467827,2584.3713558744294,4,4,0,0,0.13333333333333333,0.13333333333333333,4.937000000000001,9.19699999999998,1194.0576140299925,0.08787530003476766,0.1318129500521515,0.0002129077911376953
28,694.5545340187066,6539.372221988784,-1783.2419782664415,2061.8013948246994,1,1,0,0,0.03333333333333333,0.03333333333333333,4.762000000000001,4.762000000000001,536.8784991512058,0.08523904103372464,0.12785856155058695,0.0001544952392578125
29,123.61345077311071,5786.540078548995,-2008.440326936614,2119.9352305263833,2,2,0,0,0.06666666666666667,0.06666666666666667,3.7199999999999926,8.760499999999965,690.3085792104193,0.08268186980271289,0.12402280470406932,0.00015735626220703125
30,2743.675457633964,7771.6621723686285,-977.618183935229,1683.1617166919707,1,1,0,0,0.03333333333333333,0.03333333333333333,5.860000000000014,5.860000000000014,672.755192871397,0.0802014137086315,0.12030212056294724,0.0001380443572998047
31,-2099.945868754198,1211.6374865307241,-5312.100112939653,1486.9212387423456,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.07779537129737256,0.11669305694605882,0.0001614093780517578
32,-1004.5722191599397,2128.287812002109,-4034.6569356200735,1442.2141784511632,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.07546151015845137,0.11319226523767706,0.0001506805419921875
33,1185.1159365151275,5968.674365400628,-1773.8255800217485,1897.626148585871,1,1,0,0,0.03333333333333333,0.03333333333333333,2.6599999999999957,2.6599999999999957,466.57019388385544,0.07319766485369783,0.10979649728054675,0.00022983551025390625
34,767.867127809504,5877.159489904941,-2182.8645981722475,1923.3996334180963,1,1,0,0,0.03333333333333333,0.03333333333333333,3.9669999999999925,3.9669999999999925,474.7303481427318,0.0710017349080869,0.10650260236213033,0.00013971328735351562
35,2312.805125252298,6671.856695784631,-758.2785345664197,2021.5866088263951,2,2,0,0,0.06666666666666667,0.06666666666666667,13.82099999999994,16.134999999999845,2019.2431318850488,0.06887168286084429,0.10330752429126643,0.00020432472229003906
36,-1296.1002960186297,1054.266987514776,-4905.178759369653,1276.4681248932059,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.06680553237501895,0.10020829856252843,0.00014400482177734375
37,-21.067846702585122,4689.627911687073,-2928.82345655338,1761.838279576418,1,1,0,0,0.03333333333333333,0.03333333333333333,14.972999999999917,14.972999999999917,1777.689603244536,0.06480136640376838,0.09720204960565257,0.00021982192993164062
38,-74.93048854064072,4750.978090286875,-4119.443235254718,2295.3511116100426,2,2,0,0,0.06666666666666667,0.06666666666666667,3.609999999999993,11.750499999999844,1052.8138244304032,0.06285732541165533,0.094285988117483,0.00018262863159179688
39,3227.677062747542,7226.022531910469,-1201.9001159988163,2000.321930329978,4,4,0,0,0.13333333333333333,0.13333333333333333,4.879000000000003,12.10824999999992,1463.2006428802529,0.06097160564930566,0.09145740847395849,0.00019216537475585938
40,3572.922846237566,7427.191898154005,408.6431772156278,1735.398540640146,3,3,0,0,0.1,0.1,7.704000000000035,13.793666666666548,1628.4315284833326,0.059142457479826493,0.08871368621973974,0.0001506805419921875
41,463.93547067647654,4794.817660692074,-3087.2468368957425,2081.1905967759244,3,3,0,0,0.1,0.1,4.317999999999994,8.135333333333316,635.5225821032889,0.057368183755431706,0.08605227563314755,0.0001633167266845703
42,592.4786494651006,2859.3517640605446,-2397.2686086998897,1323.8307764091774,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.05564713824276875,0.08347070736415312,0.00011396408081054688
43,3157.6886386425167,7046.292390691089,-1511.952426752899,2069.7210830163526,3,3,0,0,0.1,0.1,17.248999999999825,18.396999999999757,2314.7555004316296,0.05397772409548568,0.08096658614322852,0.00014781951904296875
44,-806.4075680460251,1441.018163969299,-3879.62197076828,1479.7107430685,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.05235839237262111,0.07853758855893166,0.000125885009765625
45,2076.456629555333,4758.603744434654,-2591.348803338783,1750.0055078733249,7,7,0,0,0.23333333333333334,0.23333333333333334,2.8959999999999937,14.47714285714272,1944.8635356084565,0.050787640601442474,0.07618146090216371,0.00020647048950195312
46,2884.7882963466377,6269.962073792244,-505.40688004963744,1703.824887073711,3,3,0,0,0.1,0.1,11.600999999999981,14.91033333333322,1465.8812705612065,0.05,0.0738960170750988,0.000141143798828125
47,3300.677661917786,6603.639780179189,964.2520964441853,1232.581972448962,2,2,0,0,0.06666666666666667,0.06666666666666667,16.784999999999858,17.449499999999816,2191.884821194179,0.05,0.07167913656284583,0.00020885467529296875
48,3482.055316621694,6377.506496729491,-1200.4450570874085,1563.8245056503931,3,3,0,0,0.1,0.1,18.160999999999767,19.20433333333304,2783.788558555687,0.05,0.06952876246596046,0.0001838207244873047
49,3047.1372801701536,6080.913749211243,533.0997274893671,1429.289924144244,4,4,0,0,0.13333333333333333,0.13333333333333333,15.26899999999991,16.536499999999855,1726.2503338765257,0.05,0.06744289959198163,0.0001690387725830078
50,587.3064454320854,3794.091936771527,-3142.27243255872,1462.170809546766,3,3,0,0,0.1,0.1,16.0829999999999,16.83166666666652,1659.6703484367451,0.05,0.06541961260422219,0.00017213821411132812
51,3747.827001852195,6567.411683730625,-69.93217682833564,1624.455432217268,5,5,0,0,0.16666666666666666,0.16666666666666666,13.632999999999935,17.154799999999813,2040.398910529811,0.05,0.06345702422609552,0.0001633167266845703
52,851.3524190126808,3655.640926714099,-1120.9677143140423,1682.6048152763217,7,7,0,0,0.23333333333333334,0.23333333333333334,12.843999999999959,16.42099999999985,1639.2732572030832,0.05,0.06155331349931265,0.0002009868621826172
53,2213.5432227229426,4788.2994922472735,-1015.847123986457,1264.4533334240932,4,4,0,0,0.13333333333333333,0.13333333333333333,13.373999999999937,15.473999999999872,1810.9125039421897,0.05,0.05970671409433327,0.00014495849609375
54,4124.519858522635,7626.048648898942,2426.654258676205,922.7979420001263,1,1,0,0,0.03333333333333333,0.03333333333333333,19.536999999999694,19.536999999999694,2647.82083473923,0.05,0.05791551267150327,0.0001506805419921875
55,3274.9631078100424,6375.238389324265,1424.374897412692,1142.138535265368,2,2,0,0,0.06666666666666667,0.06666666666666667,15.070999999999913,16.703499999999842,1881.6224254701751,0.05,0.056178047291358175,0.00014472007751464844
56,1330.0030810652688,4373.1635195470235,-848.5805066862629,1361.3688253459832,4,4,0,0,0.13333333333333333,0.13333333333333333,13.776999999999937,15.579999999999886,1974.5652637342819,0.05,0.05449270587261743,0.00021386146545410156
57,2384.623963502888,5078.946821254743,-117.24342558988577,1334.7139028711572,5,5,0,0,0.16666666666666666,0.16666666666666666,12.88699999999995,15.388399999999885,1806.2258133269738,0.05,0.0528579246964389,0.00016736984252929688
