geracao,fit_medio,fit_melhor,fit_pior,fit_std,coletas,entregas,colisoes,mortos,taxa_coleta,taxa_entrega,melhor_tempo,tempo_medio_entrega,distancia_media_entrega,taxa_mutacao_atual,forca_mutacao_atual,tempo_real_geracao_seg
16,8931.938823774748,15533.394746279173,-1188.513970845774,6185.2354449429995,29,21,97,4,0.725,0.525,4.573999999999996,10.106619047618938,1109.5845757749794,0.1302835897066492,0.20266336176589878,0.00018548965454101562
17,7970.692303891005,16005.246398925065,-2288.7789144937715,6795.299941616915,18,18,84,7,0.45,0.45,4.1979999999999915,7.2448333333333075,1025.1918094049865,0.12767791791251623,0.19861009453058082,0.0001926422119140625
18,11283.462617029863,14642.772971416649,-1829.727477812468,5955.088972169392,36,31,0,0,0.9,0.775,3.0819999999999936,4.413806451612867,842.0128086652999,0.12512435955426587,0.19463789263996917,0.0002562999725341797
19,11479.347973583308,15333.274467328152,-1510.0222932022116,5736.709424794057,32,29,0,0,0.8,0.725,3.292999999999994,6.352965517241302,1127.6865508588364,0.12262187236318056,0.19074513478716978,0.0002617835998535156
20,13139.921455793588,13732.163025715638,-4742.573841855471,2871.7833628714293,39,39,0,0,0.975,0.975,2.6849999999999947,3.373999999999992,673.2294278867216,0.12016943491591696,0.1869302320914264,0.00042819976806640625
21,13192.687430106458,14562.101794353955,-1869.9418972046183,3990.4204925417293,37,37,0,0,0.925,0.925,3.022999999999994,3.687675675675659,728.7348974959281,0.1177660462175986,0.18319162744959785,0.0003063678741455078
22,12656.3589166369,13783.354463942467,2550.8637630301296,2456.276360217621,40,37,0,0,1.0,0.925,2.6689999999999956,4.6099729729729395,872.2048891045573,0.11541072529324664,0.1795277949006059,0.000308990478515625
23,12581.54056786806,13537.1100899999,-1358.2273463445315,2925.229473209619,40,38,0,0,1.0,0.95,2.545999999999996,3.965710526315765,778.2160035834357,0.11310251078738172,0.1759372390025938,0.0004222393035888672
24,7577.502919517297,15199.905370507298,-174.19445118172746,6078.716053610755,22,17,119,7,0.55,0.425,3.653999999999991,5.999411764705874,831.5790852220052,0.11084046057163409,0.17241849422254193,0.00018095970153808594
25,12747.407945077499,13448.495408900759,818.592161969347,2213.790088435342,39,38,0,0,0.975,0.95,2.5419999999999967,2.66881578947368,533.2365461855535,0.1086236513602014,0.16897012433809108,0.0004096031188964844
26,12201.68056638244,17883.98206089657,-272.1940529344555,7386.971065635636,27,27,43,1,0.675,0.675,4.573999999999997,6.293518518518497,1041.9560999809016,0.10645117833299736,0.16559072185132925,0.00024175643920898438
27,12435.063426058512,12635.305273452455,12223.460555789194,109.73207786837023,40,40,0,0,1.0,1.0,2.124999999999998,2.300549999999997,458.75528810320446,0.1043221547663374,0.16227890741430265,0.0003116130828857422
28,14111.249204177448,14298.33482482543,13831.533588255526,115.16190577934833,40,40,0,0,1.0,1.0,2.8059999999999943,3.2409249999999927,647.0505737218067,0.10223571167101066,0.1590333292660166,0.00048089027404785156
29,10251.613389395618,14485.718432993774,2357.5954145867186,4734.835657836966,28,27,78,0,0.7,0.675,3.785999999999992,11.379666666666512,649.2088615177455,0.10019099743759045,0.15585266268069628,0.00019550323486328125
30,10807.729179022474,15201.765401608369,-55.87342757807437,5911.984015656586,29,29,102,1,0.725,0.725,4.153999999999993,7.08520689655167,699.8541852580497,0.09818717748883864,0.15273560942708234,0.0003056526184082031
31,12911.488400428661,14568.152661792848,3598.5234543613674,3533.4172324078336,35,35,32,0,0.875,0.875,3.153999999999995,4.060028571428537,763.1394047676849,0.09622343393906187,0.1496808972385407,0.0002758502960205078
32,12219.008956739135,12378.539938315214,12147.208973254063,43.27674018217863,40,40,0,0,1.0,1.0,2.0429999999999975,2.231474999999997,446.294999999999,0.09429896526028061,0.14668727929376987,0.0006024837493896484
33,13164.548770734158,13293.691907994726,13085.431902992004,55.178244741304574,40,40,0,0,1.0,1.0,2.458999999999995,2.6205499999999944,524.1099999999986,0.09241298595507501,0.14375353370789448,0.00029206275939941406
34,4000.2771238501855,16684.09084237147,507.9035776016297,5345.359912437631,6,6,75,1,0.15,0.15,4.867000000000001,5.388000000000009,932.613750261686,0.09056472623597352,0.1408784630337366,0.0001876354217529297
35,12255.741478867145,12403.177674459184,12073.914057889331,71.60559711845433,40,40,0,0,1.0,1.0,2.0829999999999975,2.1661249999999974,433.2249999999991,0.08875343171125404,0.13806089377306185,0.0004184246063232422
36,13050.643418535203,13850.03430913548,84.6214791954745,2968.495999860148,38,38,0,0,0.95,0.95,2.7139999999999955,2.7798947368421008,555.9590323033502,0.08697836307702896,0.1352996758976006,0.0004968643188476562
37,12171.40369804193,12231.542341722961,12069.827362714008,43.260263349253634,40,40,0,0,1.0,1.0,2.007999999999998,2.180699999999997,434.59796312077896,0.08523879581548838,0.1325936823796486,0.00032329559326171875
38,15118.503347873757,15334.105492333056,14991.916734765517,98.99596591261212,40,40,0,0,1.0,1.0,3.3069999999999937,3.467574999999994,693.4070435130437,0.0835340198991786,0.1299418087320556,0.0003733634948730469
39,13050.828098815642,13648.150677982674,-598.4018762127397,2187.6480934593988,39,39,0,0,0.975,0.975,2.563999999999995,2.703179487179482,539.5875224705933,0.08186333950119504,0.1273429725574145,0.0006210803985595703
40,14016.505904884532,14448.069185294771,2502.8462161522552,1844.4831272688934,39,39,0,0,0.975,0.975,2.9259999999999953,3.258820512820507,647.7248659078002,0.08022607271117113,0.12479611310626622,0.00034880638122558594
41,13381.80341392124,13470.09678583791,13304.013798489437,40.76847593500421,40,40,0,0,1.0,1.0,2.582999999999997,2.664699999999997,532.939999999999,0.0786215512569477,0.12230019084414089,0.00037217140197753906
42,6505.504286005265,16435.94341086435,962.9689478633923,4806.346359440125,9,9,128,4,0.225,0.225,4.391999999999999,11.062888888888809,794.8444444444439,0.07704912023180874,0.11985418702725806,0.00017118453979492188
43,6604.081940185541,18774.08701132719,825.3170395680895,7432.597635730528,14,11,101,2,0.35,0.275,6.098000000000016,6.714181818181842,1136.2181818181841,0.07550813782717257,0.11745710328671291,0.0001933574676513672
44,13541.706991135588,13704.740359211932,13435.196050583772,57.42515555307568,40,40,0,0,1.0,1.0,2.6479999999999952,2.768624999999995,553.7249999999988,0.07399797507062912,0.11510796122097865,0.0004138946533203125
45,13979.443872232072,14077.675684732261,13898.906752151694,45.93052422773271,40,40,0,0,1.0,1.0,2.791999999999995,2.999424999999994,599.6028531242579,0.07251801556921654,0.11280580199655907,0.0003185272216796875
46,3888.0369631239164,14485.062582947336,710.9504101562952,3483.7947486710978,7,5,114,5,0.175,0.125,3.7209999999999916,22.86019999999941,636.079999999999,0.0710676552578322,0.11054968595662788,0.00016832351684570312
47,14704.578321473493,14824.486835872649,14446.370762400373,62.93921783807354,40,40,0,0,1.0,1.0,3.084999999999994,3.193574999999994,638.7149999999987,0.06964630215267556,0.10833869223749533,0.0004665851593017578
48,14972.772226603725,15082.608532330458,14704.971033540309,95.67476833330831,40,40,0,0,1.0,1.0,3.2239999999999926,3.283774999999993,656.754999999999,0.06825337610962204,0.10617191839274541,0.0002684593200683594
49,15398.305559405355,15556.404040319574,15218.622000058913,91.52954789603572,40,40,0,0,1.0,1.0,3.4119999999999933,3.5023249999999932,700.1544188129068,0.0668883085874296,0.1040484800248905,0.00021314620971679688
50,14864.33268995134,15020.40571663812,14665.057778664865,77.80493632373879,40,40,0,0,1.0,1.0,3.1729999999999943,3.2771499999999945,655.3102781246287,0.065550542415681,0.1019675104243927,0.00041985511779785156
51,7155.252766629524,16103.417631768305,849.8491813451647,6832.758879252543,15,15,62,1,0.375,0.375,4.684999999999999,5.547000000000008,804.1953573821343,0.06423953156736739,0.09992816021590484,0.00019431114196777344
52,12881.657763121675,12924.72976994449,12726.084065205838,34.21002612976132,40,40,0,0,1.0,1.0,2.3369999999999966,2.3683499999999964,473.669999999999,0.06295474093602003,0.09792959701158674,0.00019931793212890625
53,9942.713583893239,18351.15021753388,1049.3086313908018,7086.472636979079,24,18,135,6,0.6,0.45,6.588000000000024,14.044944444444267,1050.3219734731586,0.06169564611729964,0.095971005071355,0.00014901161193847656
54,14216.894036095275,14453.406184892632,14086.004803854577,80.09840371554088,40,40,0,0,1.0,1.0,2.9209999999999954,3.029649999999995,605.7452811706484,0.06046173319495365,0.09405158496992791,0.00039958953857421875
55,13578.268280989278,13725.921148913701,13478.149072242852,65.04299397239161,40,40,0,0,1.0,1.0,2.6109999999999967,2.6614749999999967,532.2949999999989,0.05925249853105457,0.09217055327052934,0.00017690658569335938
56,12525.57825729478,12682.483444784506,12364.8631995541,80.9180131805534,40,40,0,0,1.0,1.0,2.135999999999998,2.284749999999997,456.88857503740735,0.05806744856043348,0.09032714220511875,0.00014925003051757812
57,12034.928054603728,12161.708667100931,11871.106324069222,57.51430731218287,40,40,0,0,1.0,1.0,1.927999999999998,1.9879499999999979,397.58999999999935,0.0569060995892248,0.08852059936101637,0.0002384185791015625
58,9735.021577457683,15759.611808520662,3567.9076021050664,5776.585073866884,21,21,47,0,0.525,0.525,3.8739999999999912,5.2833809523809006,774.425506449578,0.05576797759744031,0.08675018737379606,0.0001475811004638672
59,13339.514594674085,13506.029165143551,13226.223947688371,77.56274368715441,40,40,0,0,1.0,1.0,2.5269999999999953,2.608324999999995,521.6649999999988,0.054652618045491506,0.08501518362632013,0.0005450248718261719
60,13113.89549550463,15876.69362607826,3664.1731393743435,3997.617855102486,35,33,103,1,0.875,0.825,4.142999999999992,13.235727272727067,776.4479809009704,0.05355956568458167,0.08331487995379372,0.0004718303680419922
61,6393.395852760175,15326.288986861702,916.9185125342208,5416.775263334735,22,11,122,10,0.55,0.275,4.023999999999992,9.376363636363498,796.8663472747543,0.05248837437089004,0.08164858235471785,0.00016951560974121094
62,11145.612335747455,15198.870893078314,2294.751995091787,4568.613832881668,36,28,144,5,0.9,0.7,3.580999999999992,12.364749999999855,733.5859000171444,0.05143860688347224,0.08001561070762349,0.00030159950256347656
63,13996.801901417415,18438.257611404915,4528.5227793166105,6047.385135476642,28,28,48,0,0.7,0.7,5.016,6.143892857142826,1031.4214285714286,0.050409834745802795,0.07841529849347102,0.00022864341735839844
64,13002.77025860762,17744.74447009947,2578.651659479481,5614.007706189813,32,27,135,5,0.8,0.675,5.700000000000012,15.23625925925901,1042.1715890807986,0.05,0.07684699252360158,0.000339508056640625
65,15063.807599145191,17141.22674047815,5721.354862174052,3432.6655131513453,40,35,109,5,1.0,0.875,4.492999999999998,5.9308571428571195,917.089715746984,0.05,0.07531005267312957,0.0005223751068115234
66,13204.758638178615,15936.842606198737,749.5179312720971,5417.082054951014,33,33,57,0,0.825,0.825,4.072999999999992,4.703121212121213,805.1575757575752,0.05,0.07380385161966697,0.00016999244689941406
67,17225.931167760788,17998.34977231869,1795.549705858101,2493.531221463454,39,39,75,0,0.975,0.975,5.1440000000000055,6.2461794871795,977.1964266370644,0.05,0.07232777458727363,0.00043845176696777344
68,11926.337386585841,12073.159284288977,11749.647300183915,72.33388594101463,40,40,0,0,1.0,1.0,1.9419999999999982,2.006874999999998,401.37499999999943,0.05,0.07088121909552815,0.00042438507080078125
69,15708.38656545807,17448.47097742089,5851.513149530538,3727.1825162963964,40,35,93,5,1.0,0.875,4.914000000000001,6.140600000000002,1049.6182263339324,0.05,0.06946359471361759,0.0001709461212158203
70,14170.164489173865,14210.64468095652,14097.008036933228,29.353251134358917,40,40,0,0,1.0,1.0,2.8609999999999953,2.981699999999995,596.3399999999989,0.05,0.06807432281934524,0.00033211708068847656
71,12480.796256647736,12552.672347715961,12309.872552093755,44.90155206672075,40,40,0,0,1.0,1.0,2.217999999999997,2.377049999999996,474.1986768018247,0.05,0.06671283636295833,0.0004210472106933594
72,16581.200943974192,16763.029641270572,15584.634517560164,253.25788856880817,40,40,51,0,1.0,1.0,4.386999999999997,5.421200000000003,852.0088442672534,0.05,0.06537857963569917,0.0005295276641845703
73,13316.835600932784,13380.018245969011,13252.967644802731,35.764482315452916,40,40,0,0,1.0,1.0,2.5319999999999965,2.5562999999999962,511.25999999999874,0.05,0.06407100804298517,0.00018453598022460938
74,12297.536496338096,12428.166056953913,12238.879983292552,42.848030557320186,40,40,0,0,1.0,1.0,2.1299999999999977,2.1985749999999973,439.71499999999907,0.05,0.06278958788212548,0.0002601146697998047
75,15460.846809000232,15579.861240510872,15407.211759060101,39.5866175056865,40,40,0,0,1.0,1.0,3.499999999999993,3.628899999999993,725.7799999999995,0.05,0.06153379612448296,0.00033926963806152344
76,5904.319724941314,16897.612451229084,985.0109489084176,3997.8099540015314,6,5,78,0,0.15,0.125,4.413999999999998,14.800199999999617,873.5880498205019,0.05,0.0603031202019933,0.00015211105346679688
77,9119.464956443457,14017.897918911132,3720.308975333717,4261.6178526754165,40,24,45,0,1.0,0.6,3.0029999999999952,22.485666666666052,636.6166666666655,0.05,0.06,0.00027251243591308594
78,13316.795381643835,13366.193029780614,13209.037791537497,36.498188355919176,40,40,0,0,1.0,1.0,2.5309999999999957,2.5665499999999954,513.3099999999986,0.05,0.06,0.00018548965454101562
79,13896.026788628125,13993.612738115717,13841.196316626318,38.94153877146324,40,40,0,0,1.0,1.0,2.8069999999999955,2.841424999999995,568.2849999999992,0.05,0.06,0.00017714500427246094
80,12247.9213075326,12329.352296609519,12146.205462969392,33.72437873985866,40,40,0,0,1.0,1.0,2.0399999999999974,2.0870749999999973,417.4149999999992,0.05,0.06,0.00015854835510253906
81,5823.857221554872,14177.70392992967,4521.073948478128,2519.4316513375607,8,3,111,5,0.2,0.075,23.975999999999438,29.23099999999916,965.8202139511835,0.05,0.06,0.0001468658447265625
82,15691.442628758308,17667.196397856656,6889.89419439289,3623.2840715672464,40,34,85,5,1.0,0.85,4.676999999999999,4.98388235294118,928.2486908118209,0.05,0.06,0.0004551410675048828
83,16501.495968906955,16655.937123640484,16011.389552699078,166.93178664909428,40,40,12,0,1.0,1.0,4.1099999999999905,4.356524999999993,859.546963104385,0.05,0.06,0.0006718635559082031
84,7159.076234129885,15123.178458726708,1754.8773621668533,3762.79545522896,28,8,162,15,0.7,0.2,4.942000000000004,6.774500000000015,736.4427325591278,0.05,0.06,0.00016760826110839844
85,5241.612140420279,18689.016419551892,942.3464402699487,5627.0891928864,10,5,81,3,0.25,0.125,7.33600000000003,8.171600000000025,1171.3880848969857,0.05,0.06,0.00015687942504882812
86,13918.297457499697,13963.801399266295,13846.393233061837,26.381320826185025,40,40,0,0,1.0,1.0,2.7919999999999954,2.8072499999999954,561.4499999999991,0.05,0.06,0.0001590251922607422
87,13294.407884355413,13368.79286717242,13211.300244781285,34.61046306063075,40,40,0,0,1.0,1.0,2.529999999999996,2.5376499999999957,507.5299999999987,0.05,0.06,0.0001628398895263672
88,12991.101622228967,13077.747249608114,12895.998015089575,48.78157130732773,40,40,0,0,1.0,1.0,2.3589999999999964,2.3737999999999966,474.75999999999897,0.05,0.06,0.0002033710479736328
89,12835.488626574763,16855.164071665145,5813.900897652867,4625.781983995953,40,27,150,13,1.0,0.675,4.426999999999996,5.358222222222224,978.402963300243,0.05,0.06,0.00036907196044921875
90,13979.83657782761,14012.050336876478,13950.668802408818,15.357930845184404,40,40,0,0,1.0,1.0,2.8339999999999947,2.863399999999994,572.6799999999988,0.05,0.06,0.00018525123596191406
91,15337.794387001719,15467.709949453403,14736.042018197162,148.95526127640204,40,40,47,0,1.0,1.0,3.8089999999999935,3.991549999999994,710.3599999999996,0.05,0.06,0.0003876686096191406
92,8223.770047219292,16191.649225271954,3964.326255498415,4780.946250530444,18,15,100,0,0.45,0.375,4.273999999999995,26.408199999999276,800.2972459578567,0.05,0.06,0.00016999244689941406
93,9617.797646618119,18919.41166951888,1572.35846619144,6044.809679602099,27,9,104,4,0.675,0.225,5.618000000000009,9.276555555555461,1152.2187215152665,0.05,0.06,0.00016045570373535156
94,11162.529679896465,15519.671214589558,3452.543379942,5637.262695360768,26,26,53,0,0.65,0.65,4.228999999999994,4.8173076923076925,735.5461538461533,0.05,0.06,0.00015854835510253906
95,14950.177207880875,15234.029178555491,14665.260169554847,124.46798926915922,40,40,36,0,1.0,1.0,3.507999999999993,3.5904249999999918,701.8599999999988,0.05,0.06,0.0005009174346923828
96,14526.135397037153,14588.710899367372,14456.266408910036,26.570194738302444,40,40,0,0,1.0,1.0,3.0309999999999944,3.0575249999999943,611.504999999999,0.05,0.06,0.000152587890625
97,13867.230807949742,13956.980156712265,13769.468503483553,39.716832038166736,40,40,0,0,1.0,1.0,2.796999999999996,2.809799999999996,561.9599999999988,0.05,0.06,0.0001735687255859375
98,14167.356767316898,14223.846986859939,14060.48404420622,33.68664222163256,40,40,0,0,1.0,1.0,2.8999999999999946,2.9160999999999944,583.2199999999989,0.05,0.06,0.00020885467529296875
99,16697.104506863136,17222.545188443284,16309.871523975704,191.97839477858304,40,40,110,0,1.0,1.0,4.911000000000004,5.215075000000008,907.058814967332,0.05,0.06,0.0004839897155761719
100,12581.068300665871,12636.534331537481,12534.610764688918,21.96895892223072,40,40,0,0,1.0,1.0,2.207999999999998,2.214474999999998,442.8949999999991,0.05,0.06,0.00019741058349609375
101,15743.253480968055,15810.06971130471,15695.121778145622,22.812776333926415,40,40,40,0,1.0,1.0,4.301999999999996,4.3795749999999956,738.6149999999994,0.05,0.06,0.0004036426544189453
102,14436.273674818312,14523.69238143719,14379.832553217468,36.05976253187725,40,40,0,0,1.0,1.0,3.0259999999999945,3.1279749999999944,625.5949999999993,0.05,0.06,0.0004596710205078125
103,11439.5571543017,16169.95588714011,3627.8992864293054,5247.102886972289,31,26,121,4,0.775,0.65,4.102999999999992,10.135730769230559,810.2538461538456,0.05,0.06,0.0002434253692626953
104,13926.68922281129,13959.194095101811,13891.905179304642,14.839826710930804,40,40,0,0,1.0,1.0,2.814999999999995,2.865524999999995,573.1049999999989,0.05,0.06,0.0001537799835205078
105,16805.62114546571,16899.572143352554,16300.426062126542,109.67629463456528,40,40,85,0,1.0,1.0,5.0320000000000045,5.170550000000006,872.7049999999992,0.05,0.06,0.00043964385986328125
106,13990.317426965577,14036.45863304999,13927.198254971547,29.553179591460797,40,40,0,0,1.0,1.0,2.7879999999999954,2.8115999999999954,562.3199999999988,0.05,0.06,0.00017380714416503906
107,14667.21905013653,15178.952074449724,13563.960439992072,583.6373117689052,40,40,41,0,1.0,1.0,3.824999999999991,11.756199999999778,706.3064764928795,0.05,0.06,0.00045990943908691406
108,16713.34333270829,17099.58408386979,16174.854310129442,234.72263731474902,40,40,75,0,1.0,1.0,5.183000000000006,6.300075000000011,1075.7057104923292,0.05,0.06,0.0003046989440917969
109,7524.573080154767,15324.21655298287,2403.451884582239,5088.086975022505,14,13,80,0,0.35,0.325,3.732999999999991,7.840769230769088,697.3846153846142,0.05,0.06,0.0001685619354248047
110,13111.531345148536,13185.96284785297,13051.525960345884,27.98255852482015,40,40,0,0,1.0,1.0,2.442999999999997,2.4577999999999967,491.55999999999875,0.05,0.06,0.00016236305236816406
111,13665.799164399341,13731.282235985032,13624.685116497794,20.64347164625982,40,40,0,0,1.0,1.0,2.731999999999995,2.781549999999995,556.3099999999988,0.05,0.06,0.00024271011352539062
112,17154.92650670844,17219.80170774723,16890.96917279411,53.65817253589555,40,40,41,0,1.0,1.0,5.1570000000000045,5.386350000000007,1024.395000000001,0.05,0.06,0.0001742839813232422
